English word,French word,Frequency
abide,respecter,42
about,sur,1487
above,au dessus,124
abroad,à l'étranger,0
absence,absence,55
abuse,abuser de,73
according,selon,34
account,Compte,54
accuse,accuser,49
acquainted,connaissance,246
action,action,350
advantage,avantage,180
advice,Conseil,215
affairs,affaires,66
affection,affection,113
affections,affections,40
afraid,peur,115
after,après,462
afterwards,ensuite,0
again,encore,1735
alive,vivant,212
almost,presque,139
alone,seul,232
along,le long de,108
already,déjà,139
although,bien que,1148
always,toujours,59
ambition,ambition,46
ancient,ancien,149
angel,ange,1003
anger,colère,487
another,un autre,370
answer,répondre,455
anything,n'importe quoi,100
apparel,vêtements,88
appear,apparaître,213
appears,apparaît,213
approach,approche,86
argument,argument,78
ariel,Ariel,17
armour,armure,54
aside,de côté,132
asleep,endormi,59
assure,assurer,63
athens,Athènes,0
attend,assister,0
attended,assisté,0
authority,autorité,51
avoid,éviter,48
awake,éveillé,68
awhile,quelque temps,101
banish,bannir,192
barren,Dénudé,40
bassianus,bassianus,0
bastard,Connard,90
battle,bataille,147
beard,barbe,136
bearing,palier,66
bears,ours,1088
beast,la bête,129
beaten,battu,115
beauty,beauté,224
because,car,751
become,devenir,184
bedford,Bedford,11
before,avant,1340
beggar,mendiant,119
begin,commencer,173
behalf,nom,363
behind,derrière,114
behold,voir,521
being,étant,548
believe,croyez,197
belike,être comme,22
below,au dessous de,52
benefit,avantage,180
besides,outre,55
betray,trahir,67
better,mieux,583
between,entre,1008
beyond,au-delà,43
birth,naissance,347
bishop,évêque,36
bitter,amer,105
black,noir,172
blame,faire des reproches,93
bless,bénir,244
blessing,bénédiction,0
blest,heureux,306
blind,aveugle,102
blood,du sang,933
blows,coups,70
blunt,cru,218
blush,rougir,84
bodies,corps,54
bones,des os,76
borne,supporté,93
bottom,bas,477
bought,acheté,51
bound,lié,219
bounty,prime,63
brain,cerveau,148
brains,cerveaux,0
brave,courageux,205
breast,Sein,116
breath,souffle,350
breed,race,510
brief,bref,101
bright,brillant,80
bring,apporter,448
broke,cassé,234
brook,ruisseau,50
brother,frère,682
brought,apporté,186
brows,sourcils,135
burden,fardeau,59
buried,enterré,0
burning,brûlant,51
business,Entreprise,235
cannot,ne peux pas,718
capitol,Capitole,0
captain,capitaine,78
cardinal,cardinal,12
cares,se soucie,36
carry,porter,1451
castle,Château,61
catch,capture,90
cause,cause,464
cease,cesser,63
certain,certain,221
chain,chaîne,80
chair,chaise,46
challenge,défi,55
chamber,chambre,147
chance,chance,199
change,changement,236
charge,charge,264
charity,charité,54
chaste,chaste,0
cheek,joue,152
cheer,acclamation,122
chide,gronder,55
chief,chef,143
child,enfant,373
choice,choix,72
church,église,88
cinna,cinna,0
citizen,citoyenne,62
civil,civil,66
claim,prétendre,186
clarence,clarté,0
claud,claud,0
claudio,Claudio,132
clear,clair,84
clifford,Clifford,65
close,proche,338
cloten,cailloter,0
clothes,vêtements,88
clouds,des nuages,57
clown,pitre,19
college,Université,4
colour,Couleur,161
comes,vient,623
comfort,confort,240
coming,venir,595
cominius,cominius,0
command,commander,268
commanded,commandé,0
commend,saluer,210
commercial,commercial,0
commission,commission,52
commit,commettre,72
common,commun,241
companion,un compagnon,53
company,entreprise,212
complete,Achevée,20
complexion,complexion,47
condition,état,84
conduct,conduite,51
confess,avouer,170
conscience,conscience,124
consent,consentement,104
consider,considérer,74
constable,gendarme,19
constant,constant,69
contempt,mépris,189
content,contenu,252
contrary,contraire,47
copies,copies,4
copyright,droits d'auteur,7
could,pourrait,1211
council,conseil,30
counsel,Conseil,215
count,compter,582
counterfeit,contrefaire,0
countess,comtesse,0
country,pays,27
courage,courage,279
course,cours,420
court,tribunal,438
courtesy,courtoisie,0
cousin,cousin,247
coward,lâche,144
crave,demander,0
creature,créature,107
credit,crédit,72
cromwell,Cromwell,18
cross,traverser,122
crown,couronne,385
cruel,cruel,99
cunning,ruse,94
cupid,Cupidon,0
curse,malédiction,175
custom,Douane,70
dagger,dague,57
damned,damné,43
dance,Danse,101
danger,danger,45
darkness,obscurité,37
daughter,fille,646
deadly,mortel,194
dearest,très cher,56
dearly,chèrement,41
death,décès,876
deeds,actes,120
defend,défendre,84
degree,diplôme,62
delight,délice,83
deliver,livrer,176
demand,demande,236
denied,refusé,52
depart,partir,94
desert,désert,65
deserve,mériter,121
desire,le désir,290
despair,désespoir,52
desperate,désespéré,54
despite,malgré,49
device,dispositif,49
devil,diable,289
devise,concevoir,53
didst,didst,145
dinner,dîner,95
discourse,discours,228
discover,découvrir,72
disgrace,disgrâce,55
dishonour,déshonorer,66
dispatch,envoi,76
displeasure,mécontentement,43
disposition,disposition,51
distributed,distribué,2
divine,Divin,60
doctor,docteur,40
doing,Faire,81
dolabella,Dolabella,8
doors,des portes,61
double,double,121
doubt,doute,239
download,Télécharger,0
dramatis,dramatis,0
drawn,tiré,86
dread,crainte,117
dreadful,horrible,22
dream,rêver,201
dreams,rêves,0
drink,boisson,201
drops,gouttes,56
drown,noyer,103
drums,tambours,37
drunk,ivre,890
duncan,Duncan,21
durst,durst,45
dwell,habiter,0
dying,en train de mourir,51
early,de bonne heure,58
earth,Terre,375
edmund,Edmund,74
effect,effet,470
egypt,Egypte,0
either,Soit,300
elbow,coude,23
elder,aîné,50
embrace,embrasse,77
emilia,Émilie,3
emperor,empereur,17
empty,vide,176
encounter,rencontre,116
endure,supporter,879
enemies,ennemis,111
enemy,ennemi,278
enjoy,prendre plaisir,64
enobarbus,énobarbus,0
enough,assez,395
enter,entrer,586
entertain,divertir,0
entertainment,divertissement,0
entreat,supplier,153
equal,égal,66
estate,biens,58
eternal,éternel,38
every,chaque,519
everything,tout,181
excellent,excellent,104
except,sauf,108
excuse,excuse,79
execution,exécution,62
exeter,Exeter,26
exeunt,sortir,7
express,Express,69
faces,visages,57
faint,perdre connaissance,70
fairy,Fée,41
faith,Foi,375
falls,des chutes,68
false,faux,712
familiar,familier,44
fancy,fantaisie,67
farewell,adieu,227
farther,plus loin,296
fashion,mode,255
fatal,fatal,43
father,père,1112
fault,faute,279
favour,favoriser,201
fearful,craintif,99
fears,peurs,74
feast,le banquet,128
feeble,faible,27
fellow,compagnon,473
fenton,Fenton,18
ferdinand,Ferdinand,8
fetch,chercher,160
field,champ,253
fiend,démon,78
fierce,féroce,41
fiery,ardent,48
fight,bats toi,310
figure,figure,65
finds,trouve,38
finger,doigt,117
first,première,471
flatter,flatter,131
flesh,la chair,141
flies,mouches,60
flight,vol,416
flood,inonder,59
flourish,fleurir,51
flower,fleur,162
flowers,fleurs,47
follow,suivre,491
folly,folie,79
foolish,insensé,101
fools,imbéciles,100
forbear,ancêtre,50
forbid,interdire,79
force,Obliger,270
forces,les forces,0
forest,forêt,78
forget,oublier,106
former,ancien,149
forsooth,en vérité,46
forth,en avant,442
fortune,fortune,386
forward,vers l'avant,100
fought,combattu,67
found,a trouvé,309
fourth,Quatrième,11
frame,Cadre,54
france,France,414
freely,librement,52
french,français,0
fresh,Frais,106
friend,ami,1297
frown,froncer les sourcils,86
fruit,fruit,70
further,plus loin,296
gallant,galant,70
garden,jardin,53
gates,portes,167
gaunt,décharné,12
general,général,205
gentle,doux,898
ghost,fantôme,49
given,donné,197
giving,donnant,39
glass,verre,83
glorious,glorieux,43
glory,gloire,87
going,Aller,104
golden,d'or,87
goodness,la bonté,55
gower,gower,0
grace,la grâce,329
grant,subvention,139
grave,la tombe,234
great,génial,1050
green,vert,453
greet,saluer,210
grief,douleur,360
grieve,pleurer,70
gross,brut,101
